fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.00803,0.01021,0.95798,0.00044,2.43643,0.82599,10.5237,0.50839,1.26645,0.01722,0.67055,0.30366,0.0,0.12139,0.3568,0.0,0.0,0.0,0.49033,0.0,1.0,0.0,0.0
0.0,0.00961,0.01027,0.95216,0.00051,3.13293,0.80768,7.5,0.50109,1.5,0.01509,0.71346,0.41296,0.0,0.1,0.5,0.0,0.0,0.0,0.48689,0.0,0.99533,0.0,0.0
0.0,0.0088,0.00722,0.96386,0.00041,1.78799,0.84628,9.69348,0.5498,1.38264,0.01125,0.75172,0.37432,0.0,0.13607,0.37128,0.0,0.0,0.0,0.53369,0.0,0.9188,0.0,0.0
0.0,0.00871,0.00843,0.83479,0.0004,1.88642,0.92495,5.13693,0.42033,0.85116,0.02526,0.79578,0.2669,0.0,0.19201,0.33896,0.0,0.0,0.0,0.63981,0.0,1.0,0.0,0.0
0.0,0.00953,0.01008,0.93652,0.00043,2.64534,0.78786,9.11082,0.52938,1.37991,0.01694,0.70115,0.30234,0.0,0.127,0.41894,0.0,0.0,0.0,0.50024,0.0,1.0,0.0,0.0
0.0,0.00873,0.00722,0.958,0.00043,2.08348,0.83377,9.59405,0.55507,1.38264,0.01129,0.70558,0.35573,0.0,0.12637,0.33826,0.0,0.0,0.0,0.50524,0.0,0.95639,0.0,0.0
0.0,0.00743,0.00902,0.92552,0.00049,2.43643,0.88915,11.01226,0.43933,1.33565,0.01722,0.54527,0.26226,0.0,0.13105,0.35773,0.0,0.0,0.0,0.51144,0.0,1.0,0.0,0.0
0.0,0.01137,0.00905,0.97575,0.00034,1.41435,0.84628,14.14267,0.48121,1.06333,0.01125,0.9,0.2839,0.0,0.11336,0.48137,0.0,0.0,0.0,0.53369,0.0,0.92923,0.0,0.0
0.0,0.00933,0.00802,0.82892,0.00037,1.88642,0.95,4.64191,0.41772,0.85116,0.02647,0.84685,0.2669,0.0,0.18831,0.34446,0.0,0.0,0.0,0.58154,0.0,0.89823,0.0,0.0
0.0,0.00583,0.00966,0.95931,0.00049,2.77323,0.69962,10.68799,0.39867,1.58922,0.02093,0.61159,0.29895,0.0,0.1177,0.38681,0.0,0.0,0.0,0.51144,0.0,1.0,0.0,0.0
0.0,0.01047,0.00979,0.95331,0.0005,3.0,0.8,7.65627,0.48102,1.5605,0.01526,0.67159,0.4,0.0,0.10084,0.45378,0.0,0.0,0.0,0.4918,0.0,1.0,0.0,0.0
0.0,0.01042,0.00802,0.84004,0.00039,1.88642,0.95,3.31663,0.21844,1.10967,0.02122,0.88277,0.18667,0.0,0.1525,0.28496,0.0,0.0,0.0,0.44628,0.0,0.89823,0.0,0.0
0.0,0.00934,0.00905,0.98,0.00027,1.2802,0.84628,17.21906,0.53835,1.06333,0.01433,0.9,0.30349,0.0,0.09092,0.60315,0.0,0.0,0.0,0.53369,0.0,0.87083,0.0,0.0
0.0,0.00636,0.00905,0.92445,0.00055,2.10135,0.76847,8.88926,0.46123,1.51224,0.01968,0.60932,0.32611,0.0,0.11204,0.35364,0.0,0.0,0.0,0.47549,0.0,0.77419,0.0,0.0
0.0,0.0114,0.00888,0.92272,0.00048,2.53813,0.95,7.91668,0.48102,1.62151,0.01526,0.80922,0.46163,0.0,0.09877,0.44499,0.0,0.0,0.0,0.54764,0.0,1.0,0.0,0.0
0.0,0.01184,0.00684,0.84004,0.00038,2.12636,0.95,3.31663,0.21844,1.09336,0.02122,0.9,0.20265,0.0,0.09433,0.21811,0.0,0.0,0.0,0.53157,0.0,0.89823,0.0,0.0
0.0,0.00547,0.00818,0.92445,0.00048,2.11314,0.85405,8.88926,0.46123,1.55342,0.01854,0.58447,0.32611,0.0,0.11204,0.31667,0.0,0.0,0.0,0.47668,0.0,0.77875,0.0,0.0
0.0,0.00932,0.00905,0.98,0.00027,1.31925,0.84754,17.44631,0.54394,1.0397,0.01453,0.9,0.29771,0.0,0.09008,0.60604,0.0,0.0,0.0,0.53602,0.0,0.86932,0.0,0.0
0.0,0.00992,0.00979,0.93027,0.0005,2.97996,0.79543,7.59338,0.51713,1.52497,0.01482,0.70073,0.3872,0.0,0.1,0.52112,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00632,0.00898,0.92283,0.00056,2.10626,0.76506,8.9193,0.46123,1.52461,0.01969,0.60895,0.33047,0.0,0.11232,0.35623,0.0,0.0,0.0,0.47534,0.0,0.77419,0.0,0.0
